subject	stream	weight_type	number	weight	x0_type
3	dual	data	2	0.40606060606060607	specific
3	dual	data	3	0.4308176100628931	specific
3	dual	data	4	0.5046153846153846	specific
3	dual	data	5	0.49851632047477745	specific
3	dual	data	6	0.5	specific
3	dual	data	7	0.5184135977337111	specific
3	dual	data	8	0.5976331360946746	specific
3	dual	data	9	0.6797583081570997	specific
3	dual	model	1	0.34519970597864497	specific
3	dual	model	2	0.41027635377821403	specific
3	dual	model	3	0.45516615440739855	specific
3	dual	model	4	0.4981187457790373	specific
3	dual	model	5	0.48318694768534415	specific
3	dual	model	6	0.4947160789858114	specific
3	dual	model	7	0.5421871447398802	specific
3	dual	model	8	0.5877002707165785	specific
3	dual	model	9	0.6757693304892323	specific
3	dual	model_k1	1	0.33839045527879413	specific
3	dual	model_k1	2	0.3901859069127423	specific
3	dual	model_k1	3	0.43225558079823995	specific
3	dual	model_k1	4	0.4862724185782233	specific
3	dual	model_k1	5	0.49644904762805925	specific
3	dual	model_k1	6	0.5256931040223515	specific
3	dual	model_k1	7	0.5710838477349334	specific
3	dual	model_k1	8	0.5990308735899994	specific
3	dual	model_k1	9	0.6484796154485828	specific
3	dual	model_mean	1	0.360681594641227	specific
3	dual	model_mean	2	0.4157619298828613	specific
3	dual	model_mean	3	0.45162348397983754	specific
3	dual	model_mean	4	0.4909837470831747	specific
3	dual	model_mean	5	0.47648782537859946	specific
3	dual	model_mean	6	0.4935104860099718	specific
3	dual	model_mean	7	0.5423177884923963	specific
3	dual	model_mean	8	0.5871665141398446	specific
3	dual	model_mean	9	0.6738326008327838	specific
3	single	data	1	0.375	specific
3	single	data	2	0.4303030303030303	specific
3	single	data	3	0.4559748427672956	specific
3	single	data	4	0.48307692307692307	specific
3	single	data	5	0.5192878338278932	specific
3	single	data	6	0.5823529411764706	specific
3	single	data	7	0.6657223796033994	specific
3	single	data	8	0.6331360946745562	specific
3	single	data	9	0.6978851963746223	specific
3	single	model	1	0.3600654606731883	specific
3	single	model	2	0.45008594691455595	specific
3	single	model	3	0.46189525320353575	specific
3	single	model	4	0.47538057827965846	specific
3	single	model	5	0.5063346514419028	specific
3	single	model	6	0.5938716104611527	specific
3	single	model	7	0.6520936417939692	specific
3	single	model	8	0.6583569414888776	specific
3	single	model	9	0.6838485185076346	specific
3	single	model_k1	1	0.36072834972805634	specific
3	single	model_k1	2	0.44940424533893814	specific
3	single	model_k1	3	0.460568795590556	specific
3	single	model_k1	4	0.47368274520595616	specific
3	single	model_k1	5	0.5062839554027813	specific
3	single	model_k1	6	0.5950095030182452	specific
3	single	model_k1	7	0.653230208919551	specific
3	single	model_k1	8	0.6589702567355759	specific
3	single	model_k1	9	0.6830067771200696	specific
3	single	model_mean	1	0.38223341080325113	specific
3	single	model_mean	2	0.4570798852072212	specific
3	single	model_mean	3	0.46444783113218185	specific
3	single	model_mean	4	0.47375320542548016	specific
3	single	model_mean	5	0.5158650855956415	specific
3	single	model_mean	6	0.6044105815012973	specific
3	single	model_mean	7	0.6565997935116442	specific
3	single	model_mean	8	0.660801624118844	specific
3	single	model_mean	9	0.6745114404307558	specific
4	dual	data	1	0.3474576271186441	specific
4	dual	data	2	0.4161490683229814	specific
4	dual	data	3	0.4620253164556962	specific
4	dual	data	4	0.41208791208791207	specific
4	dual	data	5	0.4674922600619195	specific
4	dual	data	6	0.5493421052631579	specific
4	dual	data	7	0.5275080906148867	specific
4	dual	data	8	0.6488095238095238	specific
4	dual	data	9	0.6666666666666666	specific
4	dual	model	1	0.34385989675635115	specific
4	dual	model	2	0.41663041517644334	specific
4	dual	model	3	0.4531648401533024	specific
4	dual	model	4	0.4463159308263707	specific
4	dual	model	5	0.44587999292716846	specific
4	dual	model	6	0.5253210209539031	specific
4	dual	model	7	0.5443905982819205	specific
4	dual	model	8	0.6552932200404639	specific
