subject	stream	bias	kappa	number	dv	dv_abs	dv_abs_k1	mapmax_bias	mapmax_kappa
1	single	0.2846153846153847	2.092713477443769	1	-0.49612721702151336	0.49612721702151336	0.7153846153846153	0.15384615384615385	1.4918246976412708
1	single	0.2846153846153847	2.092713477443769	2	-0.20175566695455543	0.20175566695455543	0.4653846153846153	0.15384615384615385	1.4918246976412708
1	single	0.2846153846153847	2.092713477443769	3	-0.040235497188429635	0.040235497188429635	0.21538461538461529	0.15384615384615385	1.4918246976412708
1	single	0.2846153846153847	2.092713477443769	4	0.0008772207323253686	0.0008772207323253686	0.034615384615384714	0.15384615384615385	1.4918246976412708
1	single	0.2846153846153847	2.092713477443769	5	0.07209732297919945	0.07209732297919945	0.2846153846153847	0.15384615384615385	1.4918246976412708
1	single	0.2846153846153847	2.092713477443769	6	0.26969238372393667	0.26969238372393667	0.5346153846153847	0.15384615384615385	1.4918246976412708
1	single	0.2846153846153847	2.092713477443769	7	0.6019312714489266	0.6019312714489266	0.7846153846153847	0.15384615384615385	1.4918246976412708
1	single	0.2846153846153847	2.092713477443769	8	1.0738115482380393	1.0738115482380393	1.0346153846153847	0.15384615384615385	1.4918246976412708
1	single	0.2846153846153847	2.092713477443769	9	1.6890051421724663	1.6890051421724663	1.2846153846153847	0.15384615384615385	1.4918246976412708
1	dual	0.5	1.0967022170072456	1	-0.4675841017542201	0.4675841017542201	0.5	0.5	1.9678135965090222
1	dual	0.5	1.0967022170072456	2	-0.21863489221330085	0.21863489221330085	0.25	0.5	1.9678135965090222
1	dual	0.5	1.0967022170072456	3	0.0	0.0	0.0	0.5	1.9678135965090222
1	dual	0.5	1.0967022170072456	4	0.21863489221330085	0.21863489221330085	0.25	0.5	1.9678135965090222
1	dual	0.5	1.0967022170072456	5	0.4675841017542201	0.4675841017542201	0.5	0.5	1.9678135965090222
1	dual	0.5	1.0967022170072456	6	0.7294229282881961	0.7294229282881961	0.75	0.5	1.9678135965090222
1	dual	0.5	1.0967022170072456	7	1.0	1.0	1.0	0.5	1.9678135965090222
1	dual	0.5	1.0967022170072456	8	1.277266218889646	1.277266218889646	1.25	0.5	1.9678135965090222
1	dual	0.5	1.0967022170072456	9	1.5599823123832564	1.5599823123832564	1.5	0.5	1.9678135965090222
2	single	0.5	1.7399322119988045	1	-0.29938374298671494	0.29938374298671494	0.5	0.15384615384615385	1.4918246976412708
2	single	0.5	1.7399322119988045	2	-0.08963062556473538	0.08963062556473538	0.25	0.15384615384615385	1.4918246976412708
2	single	0.5	1.7399322119988045	3	0.0	0.0	0.0	0.15384615384615385	1.4918246976412708
2	single	0.5	1.7399322119988045	4	0.08963062556473538	0.08963062556473538	0.25	0.15384615384615385	1.4918246976412708
2	single	0.5	1.7399322119988045	5	0.29938374298671494	0.29938374298671494	0.5	0.15384615384615385	1.4918246976412708
2	single	0.5	1.7399322119988045	6	0.6061987934722518	0.6061987934722518	0.75	0.15384615384615385	1.4918246976412708
2	single	0.5	1.7399322119988045	7	1.0	1.0	1.0	0.15384615384615385	1.4918246976412708
2	single	0.5	1.7399322119988045	8	1.4744051979443276	1.4744051979443276	1.25	0.15384615384615385	1.4918246976412708
2	single	0.5	1.7399322119988045	9	2.024822014130379	2.024822014130379	1.5	0.15384615384615385	1.4918246976412708
2	dual	0.5	1.636087453289345	1	-0.321727808737592	0.321727808737592	0.5	0.5	1.9678135965090222
2	dual	0.5	1.636087453289345	2	-0.10350878291509259	0.10350878291509259	0.25	0.5	1.9678135965090222
2	dual	0.5	1.636087453289345	3	0.0	0.0	0.0	0.5	1.9678135965090222
2	dual	0.5	1.636087453289345	4	0.10350878291509259	0.10350878291509259	0.25	0.5	1.9678135965090222
2	dual	0.5	1.636087453289345	5	0.321727808737592	0.321727808737592	0.5	0.5	1.9678135965090222
2	dual	0.5	1.636087453289345	6	0.6245817649808222	0.6245817649808222	0.75	0.5	1.9678135965090222
2	dual	0.5	1.636087453289345	7	1.0	1.0	1.0	0.5	1.9678135965090222
2	dual	0.5	1.636087453289345	8	1.4406326603777424	1.4406326603777424	1.25	0.5	1.9678135965090222
2	dual	0.5	1.636087453289345	9	1.9413359616987422	1.9413359616987422	1.5	0.5	1.9678135965090222
3	single	0.0	7.38905609893065	1	-1.0	1.0	1.0	0.15384615384615385	1.4918246976412708
3	single	0.0	7.38905609893065	2	-0.11934951713408522	0.11934951713408522	0.75	0.15384615384615385	1.4918246976412708
3	single	0.0	7.38905609893065	3	-0.005965851990844021	0.005965851990844021	0.5	0.15384615384615385	1.4918246976412708
3	single	0.0	7.38905609893065	4	-3.5591389976657566e-05	3.5591389976657566e-05	0.25	0.15384615384615385	1.4918246976412708
3	single	0.0	7.38905609893065	5	0.0	0.0	0.0	0.15384615384615385	1.4918246976412708
3	single	0.0	7.38905609893065	6	3.5591389976657566e-05	3.5591389976657566e-05	0.25	0.15384615384615385	1.4918246976412708
3	single	0.0	7.38905609893065	7	0.005965851990844021	0.005965851990844021	0.5	0.15384615384615385	1.4918246976412708
3	single	0.0	7.38905609893065	8	0.11934951713408522	0.11934951713408522	0.75	0.15384615384615385	1.4918246976412708
3	single	0.0	7.38905609893065	9	1.0	1.0	1.0	0.15384615384615385	1.4918246976412708
3	dual	0.2153846153846154	7.38905609893065	1	-0.16657634526950554	0.16657634526950554	0.7846153846153846	0.5	1.9678135965090222
3	dual	0.2153846153846154	7.38905609893065	2	-0.009783247358979862	0.009783247358979862	0.5346153846153846	0.5	1.9678135965090222
