subject	stream	weight_type	number	weight	x0_type
2	single	model_k1	3	0.43398832310574165	specific
2	single	model_k1	4	0.5016529259714076	specific
2	single	model_k1	5	0.524640523602722	specific
2	single	model_k1	6	0.5806823738341729	specific
2	single	model_k1	7	0.5971553010041766	specific
2	single	model_k1	8	0.6205925454095377	specific
2	single	model_k1	9	0.6792135130990663	specific
2	single	model_mean	1	0.3586971380761148	specific
2	single	model_mean	2	0.4286001117763287	specific
2	single	model_mean	3	0.4559491014474126	specific
2	single	model_mean	4	0.5231244048701645	specific
2	single	model_mean	5	0.5453615300258555	specific
2	single	model_mean	6	0.6003483827708552	specific
2	single	model_mean	7	0.6171552015299807	specific
2	single	model_mean	8	0.6398517155605208	specific
2	single	model_mean	9	0.6965457922071523	specific
3	dual	data	1	0.3567073170731707	specific
3	dual	data	2	0.40606060606060607	specific
3	dual	data	3	0.4308176100628931	specific
3	dual	data	4	0.5046153846153846	specific
3	dual	data	5	0.49851632047477745	specific
3	dual	data	6	0.5	specific
3	dual	data	7	0.5184135977337111	specific
3	dual	data	8	0.5976331360946746	specific
3	dual	data	9	0.6797583081570997	specific
3	dual	model	1	0.34953536211095476	specific
3	dual	model	2	0.3983278791597949	specific
3	dual	model	3	0.43667781655062216	specific
3	dual	model	4	0.4878486460047201	specific
3	dual	model	5	0.49660004932233165	specific
3	dual	model	6	0.5233272501410259	specific
3	dual	model	7	0.5655084045037068	specific
3	dual	model	8	0.5925662248396206	specific
3	dual	model	9	0.6383459608310205	specific
3	dual	model_k1	1	0.34953536211095476	specific
3	dual	model_k1	2	0.3983278791597949	specific
3	dual	model_k1	3	0.43667781655062216	specific
3	dual	model_k1	4	0.4878486460047201	specific
3	dual	model_k1	5	0.49660004932233165	specific
3	dual	model_k1	6	0.5233272501410259	specific
3	dual	model_k1	7	0.5655084045037068	specific
3	dual	model_k1	8	0.5925662248396206	specific
3	dual	model_k1	9	0.6383459608310205	specific
3	dual	model_mean	1	0.3467375583498993	specific
3	dual	model_mean	2	0.3962963950205561	specific
3	dual	model_mean	3	0.4355531778909851	specific
3	dual	model_mean	4	0.48747060552339394	specific
3	dual	model_mean	5	0.49656341351190736	specific
3	dual	model_mean	6	0.5239028585676662	specific
3	dual	model_mean	7	0.5668938133449284	specific
3	dual	model_mean	8	0.5941907684461722	specific
3	dual	model_mean	9	0.6409050605073355	specific
3	single	data	1	0.375	specific
3	single	data	2	0.4303030303030303	specific
3	single	data	3	0.4559748427672956	specific
3	single	data	4	0.48307692307692307	specific
3	single	data	5	0.5192878338278932	specific
3	single	data	6	0.5823529411764706	specific
3	single	data	7	0.6657223796033994	specific
3	single	data	8	0.6331360946745562	specific
3	single	data	9	0.6978851963746223	specific
3	single	model	1	0.36137639885768846	specific
3	single	model	2	0.44982055320187925	specific
3	single	model	3	0.4609930791855167	specific
3	single	model	4	0.47408295537000616	specific
3	single	model	5	0.5065931815354023	specific
3	single	model	6	0.5950830115495523	specific
3	single	model	7	0.6531069650166669	specific
3	single	model	8	0.6589362261347882	specific
3	single	model	9	0.6828845813320009	specific
3	single	model_k1	1	0.36137639885768846	specific
3	single	model_k1	2	0.44982055320187925	specific
3	single	model_k1	3	0.4609930791855167	specific
3	single	model_k1	4	0.47408295537000616	specific
3	single	model_k1	5	0.5065931815354023	specific
3	single	model_k1	6	0.5950830115495523	specific
3	single	model_k1	7	0.6531069650166669	specific
3	single	model_k1	8	0.6589362261347882	specific
3	single	model_k1	9	0.6828845813320009	specific
3	single	model_mean	1	0.379364793846928	specific
3	single	model_mean	2	0.4622572868429424	specific
3	single	model_mean	3	0.47348843710862176	specific
3	single	model_mean	4	0.48598066959885466	specific
3	single	model_mean	5	0.5161208111075019	specific
3	single	model_mean	6	0.5990026961179625	specific
3	single	model_mean	7	0.6524525294125444	specific
3	single	model_mean	8	0.6599655070105233	specific
3	single	model_mean	9	0.6818070270984253	specific
4	dual	data	1	0.3474576271186441	specific
4	dual	data	2	0.4161490683229814	specific
4	dual	data	3	0.4620253164556962	specific
4	dual	data	4	0.41208791208791207	specific
4	dual	data	5	0.4674922600619195	specific
4	dual	data	6	0.5493421052631579	specific
4	dual	data	7	0.5275080906148867	specific
4	dual	data	8	0.6488095238095238	specific
4	dual	data	9	0.6666666666666666	specific
4	dual	model	1	0.3311328385479529	specific
4	dual	model	2	0.39030854827052525	specific
4	dual	model	3	0.45496902202287387	specific
4	dual	model	4	0.4670863716198455	specific
4	dual	model	5	0.4742289991941191	specific
4	dual	model	6	0.5403936351683027	specific
4	dual	model	7	0.5579712020026254	specific
4	dual	model	8	0.6440138340403001	specific
4	dual	model	9	0.6372381475667932	specific
4	dual	model_k1	1	0.3311328385479529	specific
4	dual	model_k1	2	0.39030854827052525	specific
4	dual	model_k1	3	0.45496902202287387	specific
4	dual	model_k1	4	0.4670863716198455	specific
4	dual	model_k1	5	0.4742289991941191	specific
4	dual	model_k1	6	0.5403936351683027	specific
4	dual	model_k1	7	0.5579712020026254	specific
4	dual	model_k1	8	0.6440138340403001	specific
4	dual	model_k1	9	0.6372381475667932	specific
4	dual	model_mean	1	0.35490304389222055	specific
4	dual	model_mean	2	0.40363965370562754	specific
4	dual	model_mean	3	0.4606160591258526	specific
4	dual	model_mean	4	0.4719643797945458	specific
4	dual	model_mean	5	0.47875965140102594	specific
4	dual	model_mean	6	0.5340765162677404	specific
4	dual	model_mean	7	0.5507513110391092	specific
4	dual	model_mean	8	0.6237316878434578	specific
4	dual	model_mean	9	0.6190538023267386	specific
4	single	data	1	0.4124293785310734	specific
4	single	data	2	0.5093167701863354	specific
4	single	data	3	0.5253164556962026	specific
4	single	data	4	0.5714285714285714	specific
4	single	data	5	0.5789473684210527	specific
4	single	data	6	0.6677631578947368	specific
4	single	data	7	0.6440129449838188	specific
4	single	data	8	0.6994047619047619	specific
4	single	data	9	0.7580645161290323	specific
4	single	model	1	0.4424670436744748	specific
4	single	model	2	0.4916749578708113	specific
4	single	model	3	0.5231593727381498	specific
4	single	model	4	0.5488900718676171	specific
4	single	model	5	0.5775424994238143	specific
4	single	model	6	0.6528100791036622	specific
4	single	model	7	0.6628705838503768	specific
4	single	model	8	0.7101301093097147	specific
4	single	model	9	0.7567199090395835	specific
4	single	model_k1	1	0.4424670436744748	specific
4	single	model_k1	2	0.4916749578708113	specific
4	single	model_k1	3	0.5231593727381498	specific
4	single	model_k1	4	0.5488900718676171	specific
4	single	model_k1	5	0.5775424994238143	specific
4	single	model_k1	6	0.6528100791036622	specific
4	single	model_k1	7	0.6628705838503768	specific
4	single	model_k1	8	0.7101301093097147	specific
4	single	model_k1	9	0.7567199090395835	specific
4	single	model_mean	1	0.39548653003387735	specific
4	single	model_mean	2	0.43759163891961395	specific
4	single	model_mean	3	0.4681806960857466	specific
4	single	model_mean	4	0.4989684436895817	specific
4	single	model_mean	5	0.5265753614235634	specific
4	single	model_mean	6	0.5964712671350723	specific
4	single	model_mean	7	0.6101333038677939	specific
4	single	model_mean	8	0.6596461406395813	specific
4	single	model_mean	9	0.7041553823124909	specific
5	dual	data	1	0.37359550561797755	specific
5	dual	data	2	0.4364820846905538	specific
5	dual	data	3	0.4339080459770115	specific
5	dual	data	4	0.43174603174603177	specific
5	dual	data	5	0.47904191616766467	specific
5	dual	data	6	0.5175438596491229	specific
5	dual	data	7	0.5255255255255256	specific
