subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	single	199.97544438443856	222.79057428306336	207.97544438443856	0.03668103035000166	0.4486526901658105	-0.059268605877030756	0.9713519520726708	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
1	dual	272.9490869957377	295.76421689436245	280.9490869957377	0.286044914062056	1.5946468671663818	0.0786269574781879	0.6924315268884067	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	single	252.73674112683182	275.55187102545665	260.7367411268318	0.0038784065190053856	0.7797146728693962	0.0020113684863716447	0.9520437104262833	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	dual	254.32687739980958	277.14200729843435	262.3268773998096	0.4999999984631386	5.0	0.03867705697936895	2.5824108437208633	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	single	234.71767685910902	257.53280675773385	242.71767685910902	0.019473074172536898	1.0393439163069917	0.04483725918946392	0.6444615377378724	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	dual	303.29341248146306	326.1085423800879	311.29341248146306	0.035766419404945037	5.0	0.1368399161572957	0.6099818986671912	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	single	237.45597508904817	260.27110498767297	245.45597508904817	0.05439951940049663	1.2674836911643315	-0.047156696486297195	1.0124622606235794	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	dual	247.087500053697	269.90262995232183	255.087500053697	-0.5	0.7426920580807581	-0.03066791632969363	0.9641016620677741	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	single	250.33521008538554	273.1503399840103	258.33521008538554	-0.02027990136924384	1.4252560440797684	0.061728079772197214	0.5491897395927078	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	dual	288.9876342189805	311.8027641176053	296.9876342189805	0.05817218288483259	5.0	0.04309435658163918	0.7073528770662862	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	single	323.4133742695438	346.22850416816857	331.4133742695438	-0.007649787792761752	1.0154259851818042	0.19226183680721154	0.7910140146736567	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	dual	311.7200936318827	334.53522353050755	319.7200936318827	-0.21060391690786867	0.8318083129047733	0.030092263666045	1.2458304693622693	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	single	162.56033314987135	185.37546304849616	170.56033314987135	-0.00043110884731224547	0.3142884040266175	0.011602580154627205	0.546041164565285	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	dual	258.1631997030616	280.97832960168637	266.1631997030616	0.45100280046447505	2.248115237579603	0.048382712738599676	0.885191723424031	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	single	222.72351232809382	245.53864222671862	230.72351232809382	0.0012430110255989518	1.1186263241701644	-0.016383316713721827	0.7637760117738008	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	dual	265.4375792879915	288.25270918661636	273.4375792879915	0.4900699019014658	2.557474104503298	0.00012788197643235017	1.2873999647638117	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	single	218.87983690439705	241.69496680302186	226.87983690439705	-0.028556112157164318	0.7008088197403038	0.029789777470273966	0.6910955958841589	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	dual	271.3375520394343	294.1526819380591	279.3375520394343	-0.2496515805779404	0.6076249874488191	0.09035887130326811	0.7525853830505534	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
10	single	263.3220880362487	286.13721793487355	271.3220880362487	-0.043610505004442336	0.7401007723926991	-0.028947397535062598	1.1428567480816567	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
10	dual	302.7575930789518	325.57272297757663	310.7575930789518	0.021251065201614953	0.6351922079540346	0.036750151405689074	1.2075595148762166	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
11	single	256.501234858893	279.3163647575178	264.501234858893	2.3869920927399543e-23	0.019425855081265285	-0.001386842076251229	1.4317230805346721	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
