subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	404.27620062032327	421.38754804429186	410.27620062032327	0.357622931222471	1.996476256025598	0.0	2.148945720571481	0.0	2.0	0.0	0.8	specific	Nelder-Mead
1	single	390.61897611526723	407.7303235392358	396.61897611526723	-7.458127170809292e-31	0.005935382988407775	0.0	1.6340174453845808	-0.2	1.8	0.0	0.5	specific	Nelder-Mead
2	dual	412.0259289879566	429.1372764119252	418.0259289879566	-0.343785979919475	0.6199078524293065	0.0	3.0	0.4	1.0	0.0	0.7000000000000001	specific	Nelder-Mead
2	single	401.7627695777096	418.8741170016782	407.7627695777096	0.24121307473616677	2.3780330204061917	0.0	1.384894143070998	0.0	0.4	0.0	0.4	specific	Nelder-Mead
3	dual	402.2859093822689	419.3972568062375	408.2859093822689	0.038920621603689955	3.32245586016159	0.0	1.1584114882539454	0.1	1.2	0.0	0.4	specific	Nelder-Mead
3	single	402.3747160261846	419.4860634501532	408.3747160261846	0.23871142230676273	1.2764247819206878	0.0	1.5192412248872813	-0.2	1.6	0.0	0.8	specific	Nelder-Mead
4	dual	395.69007732245905	412.80142474642764	401.69007732245905	0.023447179830682546	2.8593657479036625	0.0	0.9035008057417414	-0.3	1.4000000000000001	0.0	0.6	specific	Nelder-Mead
4	single	396.2477004841008	413.3590479080694	402.2477004841008	0.5	1.6357016431667533	0.0	1.6189851921466227	0.0	0.6000000000000001	0.0	0.1	specific	Nelder-Mead
5	dual	402.5840217767975	419.6953692007661	408.5840217767975	0.06673955269552884	2.4870043015676133	0.0	1.173576133303428	0.0	2.0	0.0	0.7000000000000001	specific	Nelder-Mead
5	single	406.13606032105986	423.24740774502845	412.13606032105986	-0.07925727474775762	5.0	0.0	1.5923821437625705	0.1	1.4000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
6	dual	408.64369755886855	425.75504498283715	414.64369755886855	-0.004267094020002135	3.4980671684674483	0.0	1.626932666173298	-0.1	1.4000000000000001	0.0	0.7000000000000001	specific	Nelder-Mead
6	single	412.45086289244387	429.56221031641246	418.45086289244387	-0.19616732779119406	1.0300562746485744	0.0	3.0	-0.3	1.0	0.0	1.0	specific	Nelder-Mead
7	dual	410.95300693766575	428.06435436163434	416.95300693766575	0.20208839290959968	5.0	0.0	3.0	0.4	1.8	0.0	1.0	specific	Nelder-Mead
7	single	396.7125470479845	413.8238944719531	402.7125470479845	-1.639666390455157e-22	0.0956574287234085	0.0	1.7462068211378043	-0.3	1.4000000000000001	0.0	0.7000000000000001	specific	Nelder-Mead
8	dual	406.11689960481294	423.22824702878154	412.11689960481294	-0.49999999999999994	0.03670027369482771	0.0	2.5244892347112593	-0.4	0.4	0.0	0.7000000000000001	specific	Nelder-Mead
8	single	390.3251036537175	407.4364510776861	396.3251036537175	0.2842348008037213	0.5424558575383676	0.0	1.2631370505299766	0.3	0.6000000000000001	0.0	0.8	specific	Nelder-Mead
9	dual	407.51595959491533	424.6273070188839	413.51595959491533	0.44142089982657723	0.0	0.0	2.9720136142986755	-0.4	0.8	0.0	0.7000000000000001	specific	Nelder-Mead
9	single	398.84441698488047	415.95576440884906	404.84441698488047	-0.5	0.3202537650859757	0.0	1.707090987499173	0.4	0.4	0.0	0.1	specific	Nelder-Mead
10	dual	402.52820020990646	419.63954763387505	408.52820020990646	4.355551138535215e-48	0.00695482617025839	0.0	2.2255529239538863	0.4	1.6	0.0	0.4	specific	Nelder-Mead
10	single	393.5123442582563	410.6236916822249	399.5123442582563	-0.4999986781680297	0.19160434725495767	0.0	1.532525403330387	0.3	2.0	0.0	0.9	specific	Nelder-Mead
11	dual	406.3002294665482	423.4115768905168	412.3002294665482	0.20563384958665953	3.3376511800635202	0.0	1.9352536306971624	0.4	1.2	0.0	1.0	specific	Nelder-Mead
11	single	409.2503286839641	426.3616761079327	415.2503286839641	0.3635703568482349	1.2463327333937677	0.0	2.5702587462887125	0.2	1.8	0.0	0.2	specific	Nelder-Mead
12	dual	404.80491586057815	421.91626328454674	410.80491586057815	0.5	1.1190617731734154	0.0	2.2060970744271478	0.1	0.8	0.0	1.0	specific	Nelder-Mead
12	single	393.6806058993562	410.7919533233248	399.6806058993562	0.5	0.3350071797113493	0.0	1.5366265620516875	0.4	1.6	0.0	0.5	specific	Nelder-Mead
13	dual	399.08485472901475	416.19620215298335	405.08485472901475	-0.11529725225985044	0.5600259506621078	0.0	1.522316520552371	0.3	0.6000000000000001	0.0	0.8	specific	Nelder-Mead
13	single	398.0042688522039	415.1156162761725	404.0042688522039	-0.24999939511406713	0.1130131937488343	0.0	1.7825813068591425	0.3	1.0	0.0	1.0	specific	Nelder-Mead
14	dual	404.47720402593427	421.58855144990287	410.47720402593427	-0.5	0.0	0.0	2.3925431999051217	-0.3	0.8	0.0	0.2	specific	Nelder-Mead
14	single	403.49912658012886	420.61047400409745	409.49912658012886	0.5	1.5378563376335705	0.0	1.9852735234949703	-0.4	0.2	0.0	0.9	specific	Nelder-Mead
16	dual	405.109511236849	422.2208586608176	411.109511236849	0.33940817661132355	2.7616837054326737	0.0	2.222267044648527	-0.4	0.4	0.0	0.6	specific	Nelder-Mead
16	single	398.32895502291024	415.44030244687883	404.32895502291024	0.5	1.5421765570648396	0.0	1.7218856879295124	0.4	1.4000000000000001	0.0	0.5	specific	Nelder-Mead
17	dual	398.62158661781086	415.73293404177946	404.62158661781086	-0.031105819965360708	2.374878116607024	0.0	1.0793718130796417	0.4	1.4000000000000001	0.0	0.4	specific	Nelder-Mead
17	single	398.2581576873364	415.369505111305	404.2581576873364	0.5	0.0	0.0	1.935395325482223	-0.3	0.8	0.0	1.0	specific	Nelder-Mead
18	dual	409.42023649622865	426.53158392019725	415.42023649622865	-0.06800336605595987	2.2024615666997684	0.0	1.7739487441131652	-0.3	0.6000000000000001	0.0	0.1	specific	Nelder-Mead
18	single	392.9758954472603	410.0872428712289	398.9758954472603	0.17886739876395075	1.274076269432567	0.0	1.1041429871573984	0.1	0.6000000000000001	0.0	0.7000000000000001	specific	Nelder-Mead
19	dual	397.59447997188363	414.7058273958522	403.59447997188363	-0.2500000000000001	0.025548139935575385	0.0	1.8647422146533594	0.4	0.8	0.0	0.5	specific	Nelder-Mead
19	single	384.63845296061504	401.74980038458364	390.63845296061504	0.5	1.3684975562269346	0.0	1.2976159341128892	0.0	0.8	0.0	0.8	specific	Nelder-Mead
20	dual	413.29760420767127	430.40895163163987	419.29760420767127	0.14268584588017502	5.0	0.0	3.0	-0.4	2.0	0.0	0.9	specific	Nelder-Mead
20	single	394.0772016664312	411.1885490903998	400.0772016664312	0.5	1.9461962362338703	0.0	1.6075920033408568	-0.1	1.8	0.0	0.8	specific	Nelder-Mead
21	dual	404.62419246201534	421.73553988598394	410.62419246201534	-0.5	0.29171591336992847	0.0	2.1375754022044915	0.0	0.6000000000000001	0.0	0.8	specific	Nelder-Mead
21	single	391.0308111611029	408.1421585850715	397.0308111611029	0.25179980856272866	1.1617100524297101	0.0	1.1556273721765011	-0.4	1.6	0.0	0.9	specific	Nelder-Mead
22	dual	398.374052114403	415.4853995383716	404.374052114403	0.12484120797240628	5.0	0.0	1.2663748501812178	-0.1	1.0	0.0	0.8	specific	Nelder-Mead
22	single	391.9759625077039	409.0873099316725	397.9759625077039	0.40652633694561624	0.9052928091823752	0.0	1.3750112736625155	0.2	0.8	0.0	0.8	specific	Nelder-Mead
24	dual	396.33394989441354	413.44529731838213	402.33394989441354	0.20752566763310223	2.7366915770089664	0.0	1.191427477938523	0.2	2.0	0.0	0.9	specific	Nelder-Mead
24	single	392.72607311670015	409.83742054066875	398.72607311670015	0.10712313764262227	0.21527192301920564	0.0	1.4922508376305297	0.2	0.4	0.0	0.2	specific	Nelder-Mead
25	dual	404.0101654918631	421.1215129158317	410.0101654918631	-0.5	0.0	0.0	2.3394877192943255	0.4	1.2	0.0	0.1	specific	Nelder-Mead
