subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	407.1772863240511	424.2886337480197	413.1772863240511	-0.18072815174168533	5.0	0.0	2.2806157478083096	-0.4	1.0	0.0	0.4	specific	Nelder-Mead
1	single	386.58082294431165	403.69217036828024	392.58082294431165	0.4347503010273839	1.652765890393284	0.0	1.2372162777247917	0.2	1.2	0.0	0.4	specific	Nelder-Mead
2	dual	410.6040150969918	427.7153625209604	416.6040150969918	0.29501046727269176	3.247059457036821	0.0	3.0	-0.4	1.0	0.0	1.0	specific	Nelder-Mead
2	single	393.9565574293317	411.0679048533003	399.9565574293317	0.00040522565849575445	0.16883038222593838	0.0	1.5585760689905497	0.3	1.2	0.0	0.7000000000000001	specific	Nelder-Mead
3	dual	405.03225933372255	422.14360675769115	411.03225933372255	-0.5	0.47973032714569847	0.0	2.0593814998473143	0.2	1.6	0.0	0.4	specific	Nelder-Mead
3	single	394.6603820488495	411.7717294728181	400.6603820488495	0.22403979792958972	4.174993618920329	0.0	1.2970992732855149	0.0	0.2	0.0	0.1	specific	Nelder-Mead
4	dual	408.8277144772756	425.9390619012442	414.8277144772756	-0.23774388992052134	0.039905779513281975	0.0	3.0	0.3	0.2	0.0	0.9	specific	Nelder-Mead
4	single	378.14675437217556	395.25810179614416	384.14675437217556	0.41033572987504224	1.6819290247447778	0.0	1.1261697805526367	0.3	1.6	0.0	0.9	specific	Nelder-Mead
5	dual	414.8847101741676	431.9960575981362	420.8847101741676	0.2544685303328382	1.2213460687709452	0.0	3.0	-0.1	1.4000000000000001	0.0	1.0	specific	Nelder-Mead
5	single	408.7917640583407	425.90311148230927	414.7917640583407	0.0501092819451614	5.0	0.0	1.9495678245491987	-0.2	1.6	0.0	0.2	specific	Nelder-Mead
6	dual	404.25965642508083	421.37100384904943	410.25965642508083	-0.07531175471500517	0.9517487366894084	0.0	1.5624150058677537	-0.3	0.8	0.0	1.0	specific	Nelder-Mead
6	single	408.82330905101395	425.93465647498255	414.82330905101395	0.06990377294020628	5.0	0.0	1.6136336903145692	0.0	1.0	0.0	0.8	specific	Nelder-Mead
7	dual	406.21871578306013	423.33006320702873	412.21871578306013	0.06434941289887883	3.1069073102154494	0.0	1.3489537090557326	-0.3	1.4000000000000001	0.0	0.7000000000000001	specific	Nelder-Mead
7	single	403.77098712736756	420.88233455133616	409.77098712736756	-0.24999999999999997	0.007112227265721522	0.0	2.4347977825446705	0.2	0.2	0.0	0.7000000000000001	specific	Nelder-Mead
8	dual	403.66779784442616	420.77914526839476	409.66779784442616	0.20162026876161973	1.5872272879888432	0.0	1.5803407538079806	0.2	1.6	0.0	0.6	specific	Nelder-Mead
8	single	388.797935441601	405.9092828655696	394.797935441601	0.2758487049160184	0.4066326970801525	0.0	1.2931392030838929	-0.4	1.4000000000000001	0.0	0.5	specific	Nelder-Mead
9	dual	394.9782162938237	412.0895637177923	400.9782162938237	0.24999999999999994	0.016044705311260937	0.0	1.7824045101394084	-0.4	0.8	0.0	0.5	specific	Nelder-Mead
9	single	408.62315567029	425.73450309425857	414.62315567029	-0.5	0.462122988283042	0.0	2.54706233190585	0.2	0.8	0.0	0.9	specific	Nelder-Mead
10	dual	405.94172393253587	423.05307135650446	411.94172393253587	-0.4838330965244966	0.48607902646917533	0.0	2.1758456863092266	-0.3	0.4	0.0	0.7000000000000001	specific	Nelder-Mead
10	single	391.12972345427636	408.24107087824495	397.12972345427636	-0.4002923164169257	0.9812518168133152	0.0	1.2329613723469675	0.4	0.6000000000000001	0.0	0.9	specific	Nelder-Mead
11	dual	413.07733994995465	430.18868737392324	419.07733994995465	-0.5	0.0	0.0	3.0	-0.4	0.2	0.0	0.8	specific	Nelder-Mead
