subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	400.0280628795816	417.1394103035502	406.0280628795816	-0.1152705200123604	2.571511661470197	0.0	1.2301240644123341	0.4	0.6000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
1	single	390.07106497321456	407.18241239718316	396.07106497321456	0.36370237963896196	0.8957263877344073	0.0	1.2230255915878785	-0.1	1.4000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
2	dual	400.8481678380119	417.95951526198047	406.8481678380119	0.16297151928300302	4.640162550216283	0.0	1.513556504386735	-0.3	0.6000000000000001	0.0	0.7000000000000001	specific	Nelder-Mead
2	single	411.60064872981957	428.71199615378816	417.60064872981957	0.26269382398253904	3.550535151525053	0.0	3.0	-0.3	1.8	0.0	0.9	specific	Nelder-Mead
3	dual	413.13364330851516	430.24499073248376	419.13364330851516	-0.4062049050672616	0.2603285658744904	0.0	3.0	-0.2	2.0	0.0	0.9	specific	Nelder-Mead
3	single	397.349145379673	414.4604928036416	403.349145379673	0.1599826013183378	0.12608377038319815	0.0	1.808618314353208	-0.1	2.0	0.0	0.2	specific	Nelder-Mead
4	dual	409.45384701872536	426.56519444269395	415.45384701872536	0.13959153439021404	0.9627322920200817	0.0	2.304536223064042	0.2	1.0	0.0	0.8	specific	Nelder-Mead
4	single	387.63387621865866	404.74522364262725	393.63387621865866	0.5	0.8668251641392777	0.0	1.286392514534727	-0.1	1.4000000000000001	0.0	0.8	specific	Nelder-Mead
5	dual	399.781066827084	416.89241425105257	405.781066827084	-0.5	0.0	0.0	1.9969036543879772	-0.4	0.4	0.0	0.6	specific	Nelder-Mead
5	single	395.5896692945954	412.701016718564	401.5896692945954	-0.24444271686846486	2.403303810619894	0.0	1.3200028240507182	-0.2	1.8	0.0	1.0	specific	Nelder-Mead
6	dual	400.92519001157257	418.03653743554116	406.92519001157257	-0.25000155098143817	0.04298910273939907	0.0	2.0692050312022365	0.2	1.6	0.0	0.5	specific	Nelder-Mead
6	single	417.65317469216006	434.76452211612866	423.65317469216006	0.010621868627210457	5.0	0.0	3.0	-0.4	2.0	0.0	0.8	specific	Nelder-Mead
7	dual	409.7690783307505	426.8804257547191	415.7690783307505	-0.0037029585523200145	5.0	0.0	1.6603416231221049	0.3	1.6	0.0	0.4	specific	Nelder-Mead
7	single	405.93167492679504	423.04302235076364	411.93167492679504	-0.16138055814321706	0.1935133267138477	0.0	2.3734331632457897	-0.3	1.6	0.0	0.8	specific	Nelder-Mead
