subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	395.443393909865	412.5547413338336	401.443393909865	0.5	3.148210732066028	0.0	2.1743092297680526	0.4	1.8	0.0	0.1	specific	Nelder-Mead
1	single	395.29976898624716	412.41111641021575	401.29976898624716	0.4916684341010795	0.39342298150385463	0.0	1.48404134768545	0.3	1.4000000000000001	0.0	0.8	specific	Nelder-Mead
2	dual	394.9751000092334	412.086447433202	400.9751000092334	0.5	2.366399647710483	0.0	2.002214431700785	0.3	0.2	0.0	1.0	specific	Nelder-Mead
2	single	380.10297477866686	397.21432220263546	386.10297477866686	0.0789178781114653	1.1351357208980748	0.0	0.890482488030025	0.2	1.8	0.0	0.7000000000000001	specific	Nelder-Mead
3	dual	392.1410325985587	409.2523800225273	398.1410325985587	0.07396707531729828	2.5738628688642864	0.0	0.9045674883151745	-0.2	1.4000000000000001	0.0	0.2	specific	Nelder-Mead
3	single	389.35532320839314	406.46667063236174	395.35532320839314	0.12149858959452445	0.7009063297393718	0.0	1.1412132144315015	-0.1	1.2	0.0	0.9	specific	Nelder-Mead
4	dual	414.1393102088086	431.2506576327772	420.1393102088086	0.24101493560465526	0.27294035243809134	0.0	3.0	0.1	0.4	0.0	1.0	specific	Nelder-Mead
4	single	398.3145328636024	415.425880287571	404.3145328636024	0.5	0.421271481793532	0.0	1.6899120198009816	0.2	0.6000000000000001	0.0	1.0	specific	Nelder-Mead
5	dual	396.4035077012349	413.5148551252035	402.4035077012349	-0.02205257374071249	0.2732033155362997	0.0	1.5867093490175428	-0.2	1.8	0.0	0.2	specific	Nelder-Mead
5	single	389.8655286309578	406.9768760549264	395.8655286309578	-0.11021208079124625	0.9557959889496539	0.0	1.163073033933801	0.2	0.4	0.0	0.2	specific	Nelder-Mead
6	dual	404.92774610952614	422.03909353349474	410.92774610952614	-0.23963109105068567	0.19347086558847082	0.0	2.2436501755741185	-0.2	1.8	0.0	0.7000000000000001	specific	Nelder-Mead
6	single	386.53458916908164	403.64593659305024	392.53458916908164	-0.01329237483616727	3.622404896310577	0.0	0.7612379440398244	0.1	2.0	0.0	0.7000000000000001	specific	Nelder-Mead
7	dual	406.569588995156	423.6809364191246	412.569588995156	0.11784985500011949	3.3669671890973882	0.0	1.4063022154799947	0.2	0.8	0.0	1.0	specific	Nelder-Mead
