subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	402.6725039823241	419.7838514062927	408.6725039823241	0.0916104744991095	3.572730739631346	0.0	1.2553284194191052	0.3	1.6	0.0	0.2	specific	Nelder-Mead
1	single	404.4524591118861	421.5638065358547	410.4524591118861	0.5	1.7804277374764723	0.0	2.3872867451611928	0.2	1.6	0.0	0.5	specific	Nelder-Mead
2	dual	405.43035568394464	422.54170310791324	411.43035568394464	0.15858840145046715	5.0	0.0	1.7545441854965949	-0.3	1.0	0.0	0.9	specific	Nelder-Mead
2	single	396.5573295562904	413.668676980259	402.5573295562904	0.19498866437540407	2.032220909386662	0.0	1.1387856527331468	-0.4	1.6	0.0	0.4	specific	Nelder-Mead
3	dual	409.34322243985974	426.45456986382834	415.34322243985974	-1.781528158476058e-17	0.013125468488218453	0.0	3.0	0.4	0.4	0.0	0.8	specific	Nelder-Mead
3	single	394.9692906940757	412.0806381180443	400.9692906940757	0.2751069586152338	1.6138450691134265	0.0	1.2019500789298663	-0.2	2.0	0.0	0.4	specific	Nelder-Mead
4	dual	402.6469113553373	419.7582587793059	408.6469113553373	-0.09972325402071003	5.0	0.0	1.3181238467348289	-0.2	0.6000000000000001	0.0	0.5	specific	Nelder-Mead
4	single	379.82215968433115	396.93350710829975	385.82215968433115	0.35378987415151264	1.4186053872051714	0.0	1.033450896031449	0.3	1.0	0.0	0.8	specific	Nelder-Mead
5	dual	393.29518198049107	410.40652940445966	399.29518198049107	-0.07919408506623545	3.223846677173454	0.0	0.9183329517498717	-0.1	1.2	0.0	0.7000000000000001	specific	Nelder-Mead
5	single	397.7702022497078	414.8815496736764	403.7702022497078	-0.2495107214849217	1.0521748016858559	0.0	1.4531275822172856	-0.3	1.4000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
6	dual	399.7078430330497	416.8191904570183	405.7078430330497	-0.032894904867697625	2.205603989084201	0.0	1.1426397148971188	-0.2	1.2	0.0	0.4	specific	Nelder-Mead
6	single	405.0506428059361	422.1619902299047	411.0506428059361	-0.5	0.0	0.0	2.4280576316972935	0.2	0.2	0.0	0.5	specific	Nelder-Mead
7	dual	373.9522044354293	391.0635518593979	379.9522044354293	0.20159147254314133	4.319585925187981	0.0	0.8268317960098963	0.4	1.6	0.0	0.8	specific	Nelder-Mead
7	single	402.12297388655395	419.23432131052255	408.12297388655395	-7.722740938271651e-20	0.0016474142784541808	0.0	2.2830778344412437	0.0	1.0	0.0	1.0	specific	Nelder-Mead
8	dual	406.1151280409704	423.22647546493897	412.1151280409704	-0.2520253721831452	0.0	0.0	2.747514144193002	-0.1	0.2	0.0	0.4	specific	Nelder-Mead
8	single	394.9936687756825	412.1050161996511	400.9936687756825	0.2937661206457861	0.703610631608028	0.0	1.3349851399946577	-0.3	1.8	0.0	0.1	specific	Nelder-Mead
9	dual	392.6694061590519	409.7807535830205	398.6694061590519	-0.3651773285233622	0.18657260116657015	0.0	1.55199914845567	0.3	1.4000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
9	single	409.4424191376879	426.5537665616565	415.4424191376879	-0.36747091434772394	0.7431742096527241	0.0	2.5032099801757086	0.0	0.6000000000000001	0.0	0.2	specific	Nelder-Mead
