subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	403.7919663136697	420.9033137376383	409.7919663136697	-0.24999999999848765	0.01474684376863029	0.0	2.3249801362843323	0.4	0.2	0.0	1.0	specific	Nelder-Mead
1	single	393.7458471843688	410.8571946083374	399.7458471843688	0.4038175868481317	1.4120449347525414	0.0	1.364254020034568	-0.3	1.4000000000000001	0.0	0.6	specific	Nelder-Mead
2	dual	408.56336379635604	425.67471122032464	414.56336379635604	-0.24999999999999994	0.01898407875286937	0.0	2.9899917931651507	0.4	0.6000000000000001	0.0	0.4	specific	Nelder-Mead
2	single	401.3856535678865	418.4970009918551	407.3856535678865	0.25	0.0	0.0	2.083068323104566	-0.4	0.2	0.0	1.0	specific	Nelder-Mead
3	dual	412.6132878718677	429.7246352958363	418.6132878718677	-0.5	0.06937201261004733	0.0	3.0	-0.2	1.2	0.0	1.0	specific	Nelder-Mead
3	single	409.2308166277571	426.3421640517257	415.2308166277571	0.5	0.19169880299696063	0.0	2.8700885251987898	0.2	1.8	0.0	0.1	specific	Nelder-Mead
4	dual	384.1340726420168	401.2454200659854	390.1340726420168	0.15826834296321585	1.2165719450783432	0.0	0.9257805745115799	-0.4	2.0	0.0	0.6	specific	Nelder-Mead
4	single	384.080020604623	401.19136802859157	390.080020604623	0.4478823469323704	1.4085991307941357	0.0	1.1252706204920937	-0.1	2.0	0.0	0.9	specific	Nelder-Mead
5	dual	406.1151280409704	423.22647546493897	412.1151280409704	-0.32597910075722236	0.0	0.0	2.7475142003337663	0.1	1.2	0.0	0.1	specific	Nelder-Mead
5	single	405.2057446250667	422.3170920490353	411.2057446250667	-0.33965764080823013	1.1762497781466619	0.0	2.215679874676444	-0.1	0.8	0.0	0.1	specific	Nelder-Mead
6	dual	409.0288599607727	426.1402073847413	415.0288599607727	0.19588455447575864	4.816150802364783	0.0	2.7657265459123077	-0.1	0.8	0.0	1.0	specific	Nelder-Mead
6	single	414.30584563945547	431.41719306342407	420.30584563945547	-0.13524121272693085	4.482002164743293	0.0	3.0	0.3	1.8	0.0	0.2	specific	Nelder-Mead
7	dual	403.4593517918213	420.5706992157899	409.4593517918213	-0.48242251653630197	0.4574568042907986	0.0	1.9400099892857465	-0.3	0.6000000000000001	0.0	0.4	specific	Nelder-Mead
7	single	398.4361309115161	415.5474783354847	404.4361309115161	-0.014049261166328403	0.009247017576909626	0.0	2.022326236700968	-0.4	1.8	0.0	0.8	specific	Nelder-Mead
8	dual	397.1252519402982	414.2365993642668	403.1252519402982	0.18004057268663767	1.5941608183441922	0.0	1.2345839088286663	-0.2	0.8	0.0	0.1	specific	Nelder-Mead
8	single	388.30183028916974	405.41317771313834	394.30183028916974	0.2947661433338674	2.1207780011416157	0.0	1.1686450626918805	0.2	1.6	0.0	0.5	specific	Nelder-Mead
9	dual	405.8908982959455	423.0022457199141	411.8908982959455	0.2716626072329754	3.6865994095034837	0.0	2.239453221072375	-0.4	0.8	0.0	0.5	specific	Nelder-Mead
9	single	400.4489284877127	417.5602759116813	406.4489284877127	-0.22624899274316967	0.46123449430841745	0.0	1.692577160602776	-0.3	1.2	0.0	0.7000000000000001	specific	Nelder-Mead
10	dual	387.2242784403576	404.3356258643262	393.2242784403576	1.9173340840469044e-59	0.010122050659519582	0.0	1.513611554847982	-0.3	0.4	0.0	0.7000000000000001	specific	Nelder-Mead
10	single	394.7295424517122	411.8408898756808	400.7295424517122	-0.5	0.42205888321664564	0.0	1.5308396446878305	-0.3	0.4	0.0	0.2	specific	Nelder-Mead
11	dual	389.40717977915574	406.51852720312434	395.40717977915574	-0.2500000000000001	0.010899789907552103	0.0	1.5652017297985665	-0.2	2.0	0.0	0.4	specific	Nelder-Mead
11	single	394.2096424722849	411.3209898962535	400.2096424722849	0.18168510212072808	0.5881508538080713	0.0	1.3469319316887236	-0.3	1.0	0.0	0.4	specific	Nelder-Mead
12	dual	410.5754053704543	427.6867527944229	416.5754053704543	-4.0254452974863005e-20	0.13552972366221402	0.0	3.0	-0.4	1.4000000000000001	0.0	0.6	specific	Nelder-Mead
12	single	378.35539588089785	395.46674330486644	384.35539588089785	0.5	2.3159741727965275	0.0	1.5278364802892463	0.0	0.6000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
13	dual	407.6356946173054	424.74704204127397	413.6356946173054	0.47449469529461147	1.7452005821258285	0.0	2.6185595062224936	0.4	2.0	0.0	1.0	specific	Nelder-Mead
13	single	389.5934973479574	406.704844771926	395.5934973479574	-0.2471332775193028	0.32129971213405695	0.0	1.3365516053104969	-0.3	0.4	0.0	1.0	specific	Nelder-Mead
14	dual	396.1286190273795	413.2399664513481	402.1286190273795	0.5	0.0	0.0	1.8244124568114306	0.3	0.4	0.0	0.6	specific	Nelder-Mead
14	single	409.2501687909653	426.3615162149339	415.2501687909653	0.5	1.279594552850647	0.0	2.953744196332404	-0.1	1.6	0.0	0.4	specific	Nelder-Mead
16	dual	407.53052336081225	424.64187078478085	413.53052336081225	-0.18975054085198584	0.6929746027147021	0.0	2.191771890187524	-0.2	0.8	0.0	0.6	specific	Nelder-Mead
