subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	384.75332488142504	401.86467230539364	390.75332488142504	-0.19148667731676822	0.3376508079231515	0.0	1.2182050980460957	0.2	0.4	0.0	0.9	specific	Nelder-Mead
1	single	395.69585519754713	412.8072026215157	401.69585519754713	0.3944709522276514	0.8317197593681886	0.0	1.4234363581101974	-0.2	2.0	0.0	0.2	specific	Nelder-Mead
2	dual	399.4754254789467	416.5867729029153	405.4754254789467	0.45046706144341914	2.8756374048237276	0.0	2.4889180717233472	0.0	1.8	0.0	0.8	specific	Nelder-Mead
2	single	404.89925242195125	422.01059984591984	410.89925242195125	0.0940798189051686	1.359937272181728	0.0	1.5897321798722777	-0.1	0.4	0.0	0.9	specific	Nelder-Mead
3	dual	401.48116046299054	418.59250788695914	407.48116046299054	0.0762525825675627	1.9916584951689569	0.0	1.196472275216204	0.1	0.4	0.0	0.9	specific	Nelder-Mead
3	single	400.09943435762307	417.21078178159166	406.09943435762307	0.19523436899014326	0.8427834050694032	0.0	1.444551580814349	0.3	1.2	0.0	1.0	specific	Nelder-Mead
4	dual	388.6475569926517	405.7589044166203	394.6475569926517	0.20493563909452	2.0020303296624404	0.0	1.0352713197990646	0.4	1.8	0.0	1.0	specific	Nelder-Mead
4	single	397.03770605269096	414.14905347665956	403.03770605269096	0.5	0.8944113868147234	0.0	1.5932993119583498	0.0	1.2	0.0	0.6	specific	Nelder-Mead
5	dual	402.73049019058453	419.8418376145531	408.73049019058453	-0.14121394719774666	1.1365264942615276	0.0	1.598026858618928	0.4	1.8	0.0	0.2	specific	Nelder-Mead
5	single	383.98975785455707	401.10110527852567	389.98975785455707	-0.23821057057864242	2.6758712595778524	0.0	1.1111329687199554	-0.2	0.2	0.0	0.4	specific	Nelder-Mead
6	dual	404.6040542683189	421.7154016922875	410.6040542683189	0.24102736852394596	0.0	0.0	2.5536571429049175	-0.4	0.4	0.0	0.5	specific	Nelder-Mead
6	single	398.99119208818547	416.10253951215407	404.99119208818547	-0.014258294968161774	1.0607570592563929	0.0	1.2936955707252593	0.0	0.8	0.0	0.30000000000000004	specific	Nelder-Mead
7	dual	376.75400526374904	393.86535268771763	382.75400526374904	0.20801700461002945	1.6851351470212979	0.0	0.8573875696300544	0.3	1.8	0.0	0.8	specific	Nelder-Mead
7	single	379.6818012088322	396.7931486328008	385.6818012088322	-0.12315939714535629	0.4635024324090869	0.0	1.0592790244410175	0.2	1.0	0.0	0.5	specific	Nelder-Mead
8	dual	393.78958877024127	410.90093619420986	399.78958877024127	0.11035395711221549	2.5954647173520256	0.0	0.9413168251527948	0.0	1.8	0.0	0.5	specific	Nelder-Mead
8	single	405.6655355562434	422.776882980212	411.6655355562434	0.3940113923319636	0.5345496539965586	0.0	2.07633307176705	-0.2	1.6	0.0	0.6	specific	Nelder-Mead
9	dual	394.2231957540855	411.3345431780541	400.2231957540855	-0.042709412336857946	1.7766906130746192	0.0	0.9980488785092608	0.0	1.6	0.0	0.6	specific	Nelder-Mead
9	single	393.6841595401597	410.7955069641283	399.6841595401597	-0.2500000000000001	0.03990735599336295	0.0	1.6550739763848188	0.3	1.0	0.0	0.2	specific	Nelder-Mead
10	dual	404.57886861053544	421.69021603450403	410.57886861053544	0.08838919139262234	0.0641348863312537	0.0	2.4280973952841443	-0.3	0.2	0.0	0.4	specific	Nelder-Mead
10	single	398.86715753356043	415.978504957529	404.86715753356043	-0.4999999999999999	0.04318991022909293	0.0	1.8927785865529736	0.3	2.0	0.0	0.6	specific	Nelder-Mead
11	dual	404.5698894762416	421.6812369002102	410.5698894762416	0.08487676463058252	3.34080016262057	0.0	1.2766289573369747	0.3	1.0	0.0	0.6	specific	Nelder-Mead
11	single	388.4484935525784	405.559840976547	394.4484935525784	6.367721458986092e-26	0.0016293952893288099	0.0	1.5949481348091017	0.0	2.0	0.0	0.30000000000000004	specific	Nelder-Mead
12	dual	369.5659350442437	386.6772824682123	375.5659350442437	-0.042967749423211465	1.0563063056956237	0.0	0.8127163498533092	0.0	1.6	0.0	0.2	specific	Nelder-Mead
12	single	365.6962745887861	382.8076220127547	371.6962745887861	0.5	0.9820889703972334	0.0	0.949283911453919	0.2	1.6	0.0	0.2	specific	Nelder-Mead
13	dual	399.40008933437946	416.51143675834805	405.40008933437946	-0.4999999999999999	0.00028636560626362395	0.0	2.100305326728063	-0.2	0.4	0.0	0.9	specific	Nelder-Mead
13	single	383.52499214081547	400.63633956478407	389.52499214081547	-0.24931676244144346	0.2096469585963784	0.0	1.258213046934276	-0.4	1.8	0.0	1.0	specific	Nelder-Mead
14	dual	395.12708288658547	412.23843031055407	401.12708288658547	-0.18612133134671888	1.5951753285664165	0.0	1.0859851458157492	0.0	0.8	0.0	0.1	specific	Nelder-Mead
14	single	382.59168134949766	399.70302877346626	388.59168134949766	0.1927003410115	0.7073313418646485	0.0	1.0374947627476774	-0.1	1.6	0.0	0.2	specific	Nelder-Mead
16	dual	394.53840210794715	411.64974953191575	400.53840210794715	0.1618988621066526	4.242154809873955	0.0	1.0940072819154416	-0.1	0.8	0.0	0.4	specific	Nelder-Mead
16	single	391.2904690195546	408.4018164435232	397.2904690195546	0.5	1.0224847022450403	0.0	1.3611067948289741	-0.2	0.6000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
17	dual	390.82467963599424	407.93602705996284	396.82467963599424	-0.25000000000000006	0.004342557796709991	0.0	1.6576200509911854	0.2	0.2	0.0	0.8	specific	Nelder-Mead
17	single	389.1877476687654	406.299095092734	395.1877476687654	0.25000000000064904	0.34677722737043837	0.0	1.2741119688095268	0.3	0.4	0.0	0.6	specific	Nelder-Mead
18	dual	393.31513919813807	410.42648662210667	399.31513919813807	-0.10454287280013104	4.395384419433325	0.0	0.89212317265508	-0.3	1.6	0.0	0.2	specific	Nelder-Mead
18	single	401.57469835646947	418.68604578043806	407.57469835646947	0.5	0.3849231885041362	0.0	1.90726025353253	0.4	2.0	0.0	0.5	specific	Nelder-Mead
19	dual	381.2086349654856	398.3199823894542	387.2086349654856	0.19287125754474888	3.792074832851992	0.0	0.993613240911372	0.4	2.0	0.0	0.5	specific	Nelder-Mead
19	single	382.27293701162773	399.3842844355963	388.27293701162773	0.5	1.5735634881471778	0.0	1.2966996925757535	0.3	1.8	0.0	0.30000000000000004	specific	Nelder-Mead
20	dual	400.5336791451423	417.6450265691109	406.5336791451423	-0.24953137929347996	0.13652738494652641	0.0	1.9369706168795493	-0.4	0.6000000000000001	0.0	0.1	specific	Nelder-Mead
20	single	402.67854416682206	419.78989159079066	408.67854416682206	0.4844295042995198	0.16553091608823167	0.0	2.0969107030356544	0.1	1.2	0.0	0.8	specific	Nelder-Mead
21	dual	401.1978006050627	418.3091480290313	407.1978006050627	0.0014325349684392579	0.22091547990082344	0.0	1.8738224699959711	0.1	1.6	0.0	0.5	specific	Nelder-Mead
21	single	395.99877675810217	413.11012418207076	401.99877675810217	0.17052133924700724	3.8016497899008987	0.0	1.1404738258508733	0.3	0.2	0.0	0.6	specific	Nelder-Mead
22	dual	401.2441310789393	418.3554785029079	407.2441310789393	-0.24813200508905564	0.009955771198869392	0.0	2.2094222909896457	-0.4	0.4	0.0	0.7000000000000001	specific	Nelder-Mead
22	single	377.05450155516144	394.16584897913003	383.05450155516144	1.9214410160246134e-28	0.00598207874493565	0.0	1.3380910898538985	-0.3	1.2	0.0	0.5	specific	Nelder-Mead
24	dual	392.8974680888595	410.0088155128281	398.8974680888595	-0.09189434304733066	0.20763276361264313	0.0	1.5553882762712674	0.2	0.2	0.0	0.30000000000000004	specific	Nelder-Mead
24	single	399.88428152043	416.9956289443986	405.88428152043	0.48787174494591234	0.13351277501792405	0.0	1.9060599263916873	0.2	1.0	0.0	1.0	specific	Nelder-Mead
25	dual	398.3905981038139	415.5019455277825	404.3905981038139	2.0691951581510683e-29	0.0025070187716310192	0.0	1.9938182872154044	0.0	0.8	0.0	0.4	specific	Nelder-Mead
25	single	410.50320960919976	427.61455703316835	416.50320960919976	-0.29773448212463327	0.5631540703681086	0.0	2.7392110506853284	0.0	0.4	0.0	0.5	specific	Nelder-Mead
26	dual	406.30917623944214	423.42052366341073	412.30917623944214	-4.656282998449183e-14	0.1524926419049647	0.0	2.390244119304765	0.0	0.6000000000000001	0.0	0.2	specific	Nelder-Mead
26	single	398.6861332083696	415.7974806323382	404.6861332083696	0.5	0.6100990203176897	0.0	1.6591545053506285	0.0	0.4	0.0	0.9	specific	Nelder-Mead
27	dual	390.7778787150696	407.8892261390382	396.7778787150696	0.1002415010544365	1.9766802425311405	0.0	0.921427621278781	0.1	0.6000000000000001	0.0	0.5	specific	Nelder-Mead
27	single	389.1376405670737	406.24898799104227	395.1376405670737	0.5	1.7982625322755865	0.0	1.4643131041173119	-0.1	0.4	0.0	1.0	specific	Nelder-Mead
28	dual	397.2854650225308	414.3968124464994	403.2854650225308	0.007068095122937966	0.6286971258311741	0.0	1.4414702109104773	0.3	2.0	0.0	0.8	specific	Nelder-Mead
28	single	398.8389805785754	415.950328002544	404.8389805785754	0.4346610393667921	1.3629734162539844	0.0	1.6453976961804027	0.3	1.0	0.0	0.6	specific	Nelder-Mead
29	dual	408.7668917612933	425.8782391852619	414.7668917612933	0.16427330157450218	0.65476142490486	0.0	2.3486450569308213	-0.4	2.0	0.0	0.8	specific	Nelder-Mead
29	single	393.049155390592	410.1605028145606	399.049155390592	0.24549256679185327	0.21196222038364135	0.0	1.5232304126955512	0.2	0.8	0.0	0.30000000000000004	specific	Nelder-Mead
30	dual	400.1964686695288	417.3078160934974	406.1964686695288	-0.17556222890581974	0.5447210487572183	0.0	1.568529238841144	0.1	1.2	0.0	0.6	specific	Nelder-Mead
30	single	408.8929235872712	426.0042710112398	414.8929235872712	-0.24999999998823197	0.06831386171886639	0.0	2.956123009252989	0.2	1.4000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
31	dual	396.57995669488923	413.69130411885783	402.57995669488923	0.06029296934244731	0.3115973909742144	0.0	1.5797597839931188	-0.2	1.4000000000000001	0.0	0.7000000000000001	specific	Nelder-Mead
31	single	406.9643438776717	424.0756913016403	412.9643438776717	0.25	0.020432773851488655	0.0	2.7173733052155002	0.1	2.0	0.0	0.30000000000000004	specific	Nelder-Mead
32	dual	383.75822085144046	400.86956827540905	389.75822085144046	0.2030720066551887	1.8440275327599855	0.0	0.9234697289475633	-0.1	2.0	0.0	0.9	specific	Nelder-Mead
32	single	384.11069595501124	401.22204337897983	390.11069595501124	0.2683144878267486	1.7757542769341899	0.0	0.9981453818786217	0.0	1.4000000000000001	0.0	0.7000000000000001	specific	Nelder-Mead
